DLyfKi8RL0;SxpGvPHAvF;D2u9gbbCZV;fy4fQ413fz;N5ywRWWdJQ;ANf1nD2u4e
  ARqKh gJf9jA79; Ls pn6 oXC 6 U;-31;-22;-43;6.42
 jH ptK5    T9;  RG7 W8 XsMS;49;77;22;-1.53
msJ OO h8g8;9u sE I vHV jjsv0ZZv;-75;-78;90;-1.69
 IZ7i; en ;-97;66;-64;-4.6
kJiQVoizW1Jg4x2n ;t;-10;36;47;-8.47
S l JTVf N8OtxT;3d34q;97;-13;89;-2.56
PGEPoxp    vki;ax;84;65;11;6.17
He0L Pj RK i;wjpr;-66;-89;91;-0.9
y  t JOz; 7cD7pb CMOdfuR 7 ;-45;46;28;2.41
W xSS QL7v;BiE sYPY Jw luC7m 5b;54;-29;21;3.79
 ;nKCM g C yKO;-29;-54;-6;-2.89
 tRVu8;33sHlDjgYiFV7o;-85;-91;29;4.72
U qdliyKK8rMt81q4Zhz;RQ0;-17;-1;59;-8.06
Lcs5rNt;R Y1URVoS3l1g6G;-58;86;-70;-9.84
7 XH9S1XM lS Fmb;pxE RF  l ;-74;-52;-98;-4.25
gaZRSM tp;To  iP;-12;28;9;-3.26
C;N;-91;-44;-79;6.49
xC5 0f3l5vr N;6hjw QD;24;-78;-76;9.92
A 911    ;yet  pgn;55;-80;-40;2.39
XncVUMzVjm ;msH ;17;23;43;3.45
MsGIXjHn;L v Fg ;97;-4;-17;0.63
EqlP M uVYH c;   so rLV 4f2 Idn;2;-33;14;-8.63
j0;Ox  e k;-55;-51;-18;9.12
W BUtSVmr;E r3;72;-76;-80;-1.64
 GQ  Qa8BX s;wjDZn;-6;-94;14;-0.78
  Oc;G zX lh ;-97;21;75;-8.82
vcQvtR47X VYImYG; Wi9q qN1;-68;-82;87;4.14
2T OlJz Z0 fs ; nIXWv M63eA ODdqo;-84;-62;41;3.64
cYe s eF 5yLBGE;5up;-6;85;60;4.28
DSsEB 1Y;9jq;-2;71;30;7.35
 bD5;4UpCHY;1;-52;4;-2.0
KvYhDVbUOT8H ;tp7 ChxcM9ecs w;48;93;10;-3.3
FgKKZaT rR6gfUYhM; W00 on;-19;-23;-99;-6.65
a I3sFY3a;md;97;-79;-18;2.54
k1zS  q0   LLBxCpD;u;-76;-80;53;8.17
mEN;nd1A rNBx;-58;84;89;-5.09
rbwxU4T  6;X om  3NKJOKxi Bg4;44;-85;74;9.45
F7I rERlh;E;57;65;69;8.21
TOcu Ep5 QRo9D;l2lT UY7I;1;-70;-13;-6.94
HuZe96YD5raX;9mHwMSnN;4;7;-1;-9.07
0S 5Zkn;3jH 3 IkOoJUHQ ZGS;88;-56;-41;-5.07
uOs9Dx sY O;6 cb03xqyc467;26;65;68;3.13
Z e6UtIO; D VUDEbg7 BDOt;-90;86;-39;-7.72
a 7j6  O1  O;PvFZ5OduOcrSyrVb O;59;-90;33;-7.42
 fofcNNEtop;4o bDx6 7MQG;-52;19;-96;9.52
C r   beZk7K s4n;zqgNpw;43;59;31;8.07
F 6 u;ZWyw1O V j3   RMu VY;-2;80;-71;6.33
6 Q;twbumSDJYy rMq ;-87;92;-93;-6.55
 ENaQ ;fO0DLm;42;80;-97;5.54
 n9k o q;n z0 8Rlg R6;30;-80;-81;-6.18
r;yUi8py DpqNG w;-18;37;-78;-5.91
Q3diMMEUe;l2 ;50;98;45;5.49
e dwnPo;  ;-91;15;-99;-6.5
hFWJha;jDAiAWcUSHqCm;-58;86;36;8.94
lOBJEqZOH j5  ; rh L;97;-31;70;-7.19
RLWpWT  ;JWc;23;24;-18;-5.06
A  b8CfKsq;pTPd;-35;-5;-54;-1.03
tY; cG;-38;6;-18;9.28
5BrIgED ;8 SeEG PVHm8 q XA b ;-30;-100;32;5.21
0 ;aX KoeF ZiosE4S;64;95;-72;-4.74
bp x 9K5i ;mNHVw 5 r1 XK;76;15;77;-8.26
 zxA8Vq O fs S 8M9 0; d6usKE96BjM;-74;40;-79;-1.12
tZd ;hewTFzNT4;-87;-56;97;-5.68
ovZnk tv;atcCuS;-94;-68;-41;4.43
tN  p;G wxPTjOWOF N;2;37;-28;8.51
cgZ wZqspr;qq;-85;53;31;0.04
0G   3G7G   d vkU Qp;zUIZh    1eJSb;51;18;7;-7.58
pTSsT gwHQV; BuB 9hFYf6 W X 8V V;-42;15;-83;-0.66
1J;0e q 7a3 43kC8 8YLEB;-58;-40;-10;-3.86
 z;k;39;-37;3;-7.7
5m ;Odku 96LQz7 ;-48;76;-42;2.45
BQ;1  m6i  ;65;-17;-13;-2.14
cJ 89ebO1PW;k;-63;58;29;2.41
qDZwxlKBAYn8k f kbP0;I LYMyV CUgx 7s0;51;-9;-57;6.79
Ond a L 0 N93 Mm2;i;28;39;25;5.98
 8;h G8BOvIGgT51Dv W;77;20;67;-1.92
P; e2;-93;-23;77;8.05
 xmxjsI7oZ i z;LU b;-33;27;-51;-3.56
Lw;yt ;-14;-29;85;6.79
EeK  nVPd6Y4B;H   7y AC;-89;-96;76;7.57
VCN; VxAkCj3WOE;-13;-34;-74;2.06
SZ;Hi 0U 8  q Ms1Ic R1x;-33;8;-43;-9.89
v 5fRF   Rqw;zxS P8n a;49;-66;90;-4.66
X2h;ZrdDhg ;63;-72;-26;-8.6
  QTmiFb ;U J MGOk3 RhK;-37;-36;-72;-0.56
A;uKzH HF55934;48;-26;-73;1.16
8 S3 9iXq5ffL ; YJ2bDjTDGkgJ 7d ;87;-37;86;-6.39
vO0tvX  y Y  7u llkd; UR5I;-84;-77;79;8.67
TU4F  H xHHV;S Xfz1mVVP;-7;-1;63;-1.38
epmzK  F4j; Quu4tY;-35;-84;47;-9.18
5 Fu;   z4  ;-78;-54;-6;-6.69
SuFlfBPSxz6;nMVzhz3;56;20;-72;7.21
Qai 9d 1BPy;SFC 0T B X X  3  bE ;51;-13;-97;9.54
nZYBnZWBqhD YafpuCl;PnHU;24;-84;-31;5.77
7i8DM7 LKKA;  ;59;-3;-77;-8.67
Mh;EKq XdnW8aRpleL xl;26;75;61;8.07
x9Ow7;n1gRa;31;28;-1;6.69
6 3x;N5NH4WGw;-5;-6;49;0.98
 21 cJVhc U1Kt 3;cYKuT  H  W81x;-78;40;-41;-1.98
 JO9 ;yqh7QZeqlzwPkXi9V;1;-57;4;-8.21
aOnirfN; kjva H 7WV3y;-62;-9;-52;7.48
FJq    Gv x N cCo P; fatIK;-90;-93;-78;-3.67
Ja Zxy;  41y T ;-11;-78;-20;-4.78
BWM; mDw6Hi1 R;-50;15;-16;-0.53
 YtWxSB;2;2;-24;76;-5.72
l6v;z pF jnp7 ku 5;-58;-93;-28;1.3
XkUr Uj2y He aKsVR2Z; gkN17y vPR JW83U;23;-25;42;4.05
sgev;  BV QKGu;-46;76;-21;-6.06
 6J8 ;wIPxA;77;21;-5;7.06
GE nm CXn;zu1;-53;60;90;1.87
py PPi1WA;98asNfaMY Y4O I;-62;-37;69;1.05
ScU  z;wlPATIc9 yy4we l ;-59;-46;-56;2.87
P  8ny;2MRTv  C g5Bhm9d;-86;-39;34;-2.18
Zsqy e 2gTooYjyIBj;  ;-3;67;-22;9.31
 r  P2Z3cz;L1pmQ;-96;-70;26;3.45
 TAJtWd8;1m;64;-94;-35;-7.87
469sZYAJRhGkT a z; d xQk  0;-51;-35;-73;-7.2
hz7UR9; 3KyQ ;-46;30;15;3.14
 HhNJc cyBmtMpC4D z;IYDDfNSf N80  ;43;-69;97;-0.91
yH hNrP a  QTxe;6KqCQQF7URZ  ;-2;-91;21;-6.22
  O   UoIzl Q;XcV;88;41;-25;-0.7
jM OFO4sK2    kG 2G;6apk3R8 ;-76;-41;-10;-8.72
al1HY q r FcvV ;v S V;-8;93;-93;-2.2
mXFFYrwvho 8;i6 ID;-52;-69;-12;-8.62
 CoWel  KYP a 9gN; gOCI94krK4C35l P0i ;-40;-59;-3;4.12
A3u;igpI0 Js eME E;9;59;24;-6.87
6rnyV i vR UAe84 V2 ;2lXV1j;32;36;48;1.49
d o ;cCe;64;92;35;5.07
7PCM1 sec0L6 ; 0R  B1zpm82RP;-13;73;-68;4.67
fF;VaQ L;-39;-12;-36;-5.56
WRsFMg WOj;caJYAU0 btQ j;84;97;86;-0.53
 T h2bCc N  eP;rAgPnphCQd 4 Slnz 9E;57;-72;94;8.32
oy ;GGv nduDgg SI;83;-11;-43;1.75
0 zeq;I cdafu ;88;-90;7;5.94
gKp;uOO;-33;71;-64;-7.2
a KpOJtTRLRYRY ybg;K Dq9DN q 6 ptmJ;33;-34;15;8.72
x5 nASuFdksH;tNlLL;30;-45;86;-2.46
uw;mNbf BZsX1dR;24;-24;98;4.91
dLV  ;cKmlu B0QTe n9c;46;-76;43;-8.59
 SF  Q;l MBSw3yO  x ;96;84;91;8.16
W Bq5OcW48Ro Elh ;j M1we9aF ibYv2s;58;-62;-88;3.14
ksji bhCVXAgcdepS6; q;74;-70;22;-1.45
zGQtWqJ59WS llX R ;2E NU FaCuuNgj1n;77;-94;87;4.28
 zZIDC  WITiL;AaHgfz5  z1 F;33;95;75;-3.72
BZGU  QAWGh;L;-51;-6;84;6.63
eG9Z h US 1uK7tm; CaO0tkj9 Pk 8 p;-36;100;49;-0.78
eGQg8pYT;S9yU HbA;-71;79;-18;2.73
  URk PT ;Z2NvvE6C69;93;75;17;-8.54
2CjDamUd F q0bkTee;M6fw67GAM;-71;-94;-31;3.34
0Za  1S ovKAqV;GzZecrf owsrh9K ;26;38;-22;5.83
o 62oWrM;q1617gQWPU 5M  ;30;-25;21;7.57
gEalV;H96L ;-47;-61;61;1.18
vCIZU;tE4tFCVi J3ndH Lb9P;86;-94;-21;7.59
m;QwN 2q;41;58;-39;-5.54
R RR X   cDT Tet;b2 h0 qnd;11;42;-8;9.81
9QzU gMn w  18;F  V NZOh6jf6c1;80;40;-3;-3.91
 xDUZ6;q ;-6;74;38;0.79
Q 5S nT avcb E 4 yk;vB0J9Usb RB  hv5;-32;83;-69;7.82
DO tSdVyLZE qu;OxdQE2r yfuChuP8;-48;-11;-41;9.99
Zh ce;Z2 zaNeAwElF  W9vSy;-69;5;-91;0.01
V Er A fm P E ;OTXYb9yvX iWv GVSK;-51;-89;-93;0.75
l; WBX sa  T;61;91;38;-9.83
3hQoOSfS  q;Q2LU M0D f t;70;96;-100;-4.39
R nC iS JZRk l;REBNsICHGC;-94;-29;-63;-2.21
vlw Y7r e;P w RDrbjv0  Mv;-85;51;74;0.44
7  ghwR2w;TuI5T0KP;-11;-16;96;6.82
 FX8T bX 5 3;Ln2zb;-49;20;61;2.51
 YjoXKZJlO1nKbVXTl;clO5FtbL8 F;77;99;4;-7.92
jZm54Qu2b  ;Ttijto7;97;67;37;-3.26
bmeL PX;ALhVT w7OHfeqoqmcPu ;67;-77;-59;6.19
jPFdCvo V VAhj;    f;-14;-2;16;-7.44
U1m hDo2cLWs8h  K;wFnA tp8emilmx H08WP;-45;-18;84;1.01
 A3LYv CR;0B;67;51;44;-4.15
M7C   u  I ; iWH;-93;-55;74;9.75
cq v88EV F;dQbs5DNr  E;77;-65;14;2.91
4 w  78 3MNJYq9 ;hLaH2  ZQb ymS;64;54;-83;7.2
bQlYdF  RGU1wzzX670o;dIA4U H;62;-84;-66;7.09
nuzHB;bj;75;17;78;2.88
 26OVawc0k   ; WhT q9DW jWtrgtbj ;85;2;-25;-9.77
Kko 4 Ln 7n a  ;4L9c k84;-80;-50;-45;4.19
1NFxZwEd5;wz 3vFjcH6QO;-3;8;-10;0.53
bpzTJxK  ;bA  oU;-42;-72;60;7.27
vD97o; oB8 ;22;35;61;9.42
RBLElOxmLwOj ;f8pqj0lUv 6;-19;-53;77;-4.8
j0Lls3VaCJ O xoq;UyIPt;81;20;-2;4.04
5UokUYF6J 0P b;5uEr;93;-23;-42;6.45
TH3rEt;BLsOkZLK ;31;22;85;-9.56
 Ngyf6rm0ZcE FDr p0;HDE5xb;49;90;-52;7.66
0gawRl 6qxNfWS  D Rl;ZvtIM IaC;82;-69;3;9.2
s  E TIff f;8XR;-46;42;-44;9.94
Ha;5L  rA 4nzT j x  ;-100;29;12;6.37
Mswi  5Pg 1;90n z MF8ndArNKLyj ;-89;-85;96;9.94
 I;  9 HxszDQ;72;-68;19;-2.92
 th3VJ DgCd;DSTJSt;37;-86;59;9.38
RSFPj2aO ZWjg   ;mWMX6AeOu4eSk;60;62;50;5.38
4qgFJ bay;B z DRvpmg;31;24;-78;-5.9
s Rm5  f hU;ZtY dadQ zEqmkyl y ;-38;-31;-35;-1.23
xhBqFCBGVK g; bi Mm kV ;50;91;-87;-1.86
M7BhiggV; C1 6 xe 1a6ZjE20;80;-79;-51;1.23
 E dtSruB4ZqrjB0eYS;E 7 d;-92;71;72;-4.63
oUqN  XoY;c 8 pNuz;21;-26;83;-4.43
 plp  Oe5c  oYN ;N i EgN B;-11;96;-60;3.46
p7chgB; hRo BPD hf0u;18;62;-8;-4.27
 hH3lS Aq3yQ;jcO 0  wkf gO imP G4;-43;-22;-50;-3.69
0V Ayz  TAXnw;h;8;-20;-18;-4.57
 a v yyv jHx;  l bhv atHzeCmKJjpU;99;49;98;-5.11
N 3lGSxJA Og8t;zLgOF  ;81;-90;-30;8.59
 2An5 K1HMis 5bDL;BfwA mlbfnjWLvw p;-71;-88;-31;8.69
J FVE sJZLu2AsMj24gY;R ;40;46;17;-9.34
FxH;L 2;-66;-66;-96;-5.84
 2 G  WLOfV1;t IeHswN64 AF;10;82;24;-9.71
s 1ZZx cQuTj ;  t 5R iST a 1PUJ  t;-33;-40;-58;4.03
kkZ 8c 7yZ 3uu lDh;o 2PldhWzOvA;71;-45;-3;4.35
  tSrTash;U2O;37;-53;-90;-2.06
  Y;FS5ni4 l;19;-51;-63;7.77
   j  1v h6;JFo a4gAty ep 4 R;65;-39;-61;9.63
 N4 TunZHBo J;Jm TizJ6P;-15;29;-20;5.91
n 8RX;DP1Su 5LGh;-77;-79;84;-1.4
 ;CUi0Q;79;-75;71;7.55
U7 UY; EI BNZ;0;-95;94;-8.17
57wbfW NC3IQpCRL5BE;P z H UMU;-27;-59;-80;8.12
qmLwT in9;ArKuaps2cX KeB lWoQ;94;73;87;-5.85
  9Jxqa33B Q JRFsM  ;2MmeICvN5pg;68;96;92;5.51
 Wb6kqi  iuXF i E;4idNu ntBFp4Jg5;94;20;89;-1.71
 HfVUVZDvg;0h ;-26;87;29;9.31
74 VJv0; G2;-8;52;-60;-8.46
S yspXJ0nSCtA;tFf;-72;96;-43;-4.12
ye F6ZN1DE FZ7vqf;9o nk7poN2 nsapM;40;-98;-54;-6.56
HPcBFzy3r l7OGijDJKD;4iulpx64;-7;-86;-89;-8.82
QTz DOFs;9;-64;0;31;-6.78
EAHFMWl ;8q XQ j2  r K dYnx;65;15;-7;-0.87
s ud 2t0 Dbf9J1S ;TIzE04 ;-34;-27;-97;-3.19
 LkJd QTbesVkL 4;0x cfQ;-83;26;-10;-6.75
IHa5GKICpoQm; ;76;95;-9;1.23
F d8 uZC BJ;zf0hJj w4aVpjF0 v ;-31;44;70;3.4
50 S;1 Z H aKz8L1I;77;28;-3;-1.74
tHV uV;wh ms aH  WbuHeYyf;58;73;37;-9.77
caQuNLyKK PH B qB ;99rgCE;7;-47;-20;0.98
qX; VYAfbXeo7  ;49;57;-75;-4.18
 6wuqMET4K0K4kh9 0Q ; 0PdzpfRkT3i q u;-68;20;24;-3.12
0Axn xC7 O8UJZ;fs4Bq0gIX9m rKf 2 Q;-81;64;-78;-0.84
0 107V;lbc2EPga1;-95;72;9;-9.79
kuq QUHQi3  NIf4O;p5;48;-78;12;5.12
 ug9 s3pZ 1 LhC2Mb;YwSz4;80;-28;-27;6.78
GSrVdKopF bo zobw;Z aCUaio8kn o cS6  ;31;32;54;-7.81
FBCMBqxU;j C;57;-35;5;8.66
2  X5I0; VGyuUl O7hK OYzB 6t;-22;90;-68;1.67
vAm7m l; s6Fv25gZp T2;-74;1;94;-3.33
wmB TXt;cr3 i2  HhsXOUiAe8;65;42;43;-7.72
SEu  W;x32mJKa;-88;-84;-39;-9.97
 h7; UknOJgEw  0S;-92;1;-10;-8.08
KECUsgQH  CVD3;pscs 6aP xPt i s Yz;6;28;84;-9.61
qLWIc ;v  uFoPpan2yKL;11;-39;-4;-9.41
P2H eT NV jOg Mbl0D;Y2h GR7LcNK2Hl K;-58;-79;-67;4.76
HJcM Ui  UA;GpXU;-89;-85;100;-5.59
2 T;5T q Q ;-83;-34;94;8.67
6sU7q5zh xxqisvS;Hwt6zr Qfsxn F8W   ;85;50;-69;1.11
gdcJz 5w0 VR0sQ5K e;Qc qmniXR  UD;46;-17;-61;8.17
I;10RqdL 4hDE7 zW;-81;-68;26;3.36
yyY  cW;ns3VrO sHv ;-56;-70;-90;-1.7
HyxjQktl7WoPFE;rYcvWb KLH;27;7;14;-7.18
5;nxV1;37;-48;-62;-3.9
q9 ExUk;4 h2HRP cU  HmaW;43;-71;-76;-2.18
zZz IJgHC;Iz m;24;92;-21;-8.2
6PEBE O  iH;E;-69;-45;22;2.23
PePNmwgJlH nhGW3 ; ;-65;-97;98;2.06
 ;N1bH;-8;89;74;9.91
m4SB7zlF; g GO;0;51;33;-8.98
    R r;5igg 8 PYc  ocfT;28;27;-1;-9.01
 iQK Gjdg    tG;I8 MBqF0vNqyoWTLd;-40;-15;-42;-4.76
iwr BF98EW  NR 7 1ci;v  QUqOb 4;-24;-17;-35;-4.69
B9JhT1k;wheDcPqVp j1bwhElA;41;32;61;3.92
 OOX   OnI vkT n;1PD3 v ;37;9;-73;1.59
63 M;HeDhaTqF3gQ ;52;55;-79;7.68
jgQNdkm32dlX9D  SH9 ;fCm tPlUl Lv64rKdrL;-30;-4;29;8.34
PoEZ9 85Z;  G;-21;-73;-53;-1.6
l 0HIsbuj 4 i MZZ;w;-22;-90;89;-7.65
KZTqTqpE ;8b8 YpNFJV;8;-31;-59;0.78
TMfwEceP6htgMYQpNW; aq cYulG6vB0Zj  VL;-39;73;-82;-3.2
rQSUE N0rYse  td;dDJKw;-71;-48;52;0.08
 I  W I;Ou T;-76;-76;-99;-3.39
 JV6zL4kzx nt lU;KddBwffTUdsi P ;-88;-90;45;-5.64
L; 3VE;-4;82;65;5.04
yY6 R sZAJj aeM j;MsIcCO QwMe5i0N PhZd;-12;52;-34;-1.92
mo CYpE;0m Nio1DCOn7iEYpSc;-52;-18;42;-8.41
i;077 gg  7Vjy e S7 ;-20;-14;74;2.07
gVJna9zRtO2;   mXszH;86;82;48;8.36
 V GuWMQ;8Eyx0qDqp s v0JaSvn;48;39;64;0.19
IeTG1;rgz Vuffqtl;-40;-45;100;1.94
dKpy5jID; Am j tL    O zu;-61;-59;58;-7.66
 Z t; ekhqvsHoGBq c;-44;-35;18;-5.64
AtTud ; Djn9BBqX;-7;-50;-67;-9.82
 iVAQG  W atCPf;oJ VrKevf0FNpTruxVx;-50;-54;-66;0.5
JeSxdUkwDY z  p I;0hD0Cmyb   y5Q8 ;-34;23;77;9.85
LU   cMwgnIol;2Jr   ;-41;33;71;3.8
W3r ;Y hjBlK2 hz;56;-31;-77;0.8
P T14Pec Vhh9;Y23mqqTZICr  b W ;52;-37;-90;7.91
yl x;vAfiPF  mg;88;22;11;-2.16
CY;c uFF k R F1FL;50;95;67;9.07
bWwo8 H i7S 0VfIdN;9pETx5lf Y ;45;-100;14;-4.29
  P AuE G4;ZnCG08cq3Uk r1 i  e ;80;77;-36;-6.2
k  SSPe;aQmlLPhOrXaslM46 RA;-38;-100;65;0.81
li9 zdTFS29;1QF;-75;41;83;5.34
 LpSpi FrpD6  2 ;O3 ;-16;13;-30;0.33
jUIZ g cr4zcZ8  v ;F dfeTDG0k qy1 ;47;8;14;-8.81
ibNJ9 etG Zu;0  3 ;56;-9;72;-0.85
w  jnWyGpy TMs 2 Ooy;vfv1A  26 bl 2;91;-6;-78;-9.12
  OVut2HXd1 GC5wu;cK1 7ZN9L UXKdo55;-57;-73;20;-4.17
o;  2L;87;-93;-84;-6.56
T0N MXVftWEPQq; Q7 L78f Ee2c;85;-49;98;9.78
WeDZawuTrWJeB ;mcENV;-15;21;66;-0.14
 gLUczCvT7rOz v68I Y;WA b G;67;-49;-86;3.48
  qiQ1g5 QhX;D;18;-96;93;-0.81
 a yu2j  ;McMcN B LB 8r OxS;8;26;97;8.45
6SwJSPXl4TCHfO  BB;vNuP5Xu64yxkrbo;-3;-56;-77;3.63
U ;k  J ;-35;-87;29;6.11
bH80GIpkJ r; 10;-72;-95;-16;-9.26
 9 W;N3ORf ;32;65;29;-2.12
yZ5 B x;pEy0u 2 iy;3;52;55;6.89
L E2SJE a  ReVY I;F5Zo4 xrQXsA RnnAbJ9;70;23;-38;4.75
K;YN IsKi 5 9pd7FsfxHM;-63;-98;80;3.79
CMNasSAwdmk;Z ;-40;-42;-19;0.1
zsu  2Oa;Q  ;-57;-30;-65;4.69
 wZpj9z9d;   RsVkrEfmul 4A;21;-54;-94;8.93
HpZm aSy 2bYd4ZSo;Y1MFVQ 71F4 1C Mu A9;-9;-69;69;6.94
I HvC12LliVADu ;7vro t1l 2b6bWUTmN;-79;-15;-14;9.33
9Nvr ;7G Qf 7l os5sFzuVpD;45;-35;-72;-6.59
Gh3yZzM p;j5vzqE0 Yk1;7;48;7;3.21
 KKVEapS;5W1tY6f;-11;-63;-17;-0.55
 aK725 kZmO3 q4Q9;1 HIp12Iwp ;44;60;67;-4.14
TyS5;YiU ;23;-39;99;-9.88
t ;lg0cM6VkZqLd Y c y;33;-22;5;-0.32
 p24 W;ExWA c1acDJ4w4;49;-39;-82;-7.8
QwJ ee; NMXLr;100;-85;-28;0.06
ttXoy SVYAG z;  8AL W 4kJ ;-31;-71;45;-5.33
 EdBDTLS;fqieL  c53O MP R4;-15;38;23;2.47
jowBlMle2eNCDU2DNaC;D1Zi WhwZJKvQ ;16;-61;-30;5.34
  S  8cmF7;7WhELPWYh  ;41;-71;38;-0.18
yf g4EeY TFk;nx I;6;91;-96;9.11
u2  e NqxiEdu ;sQ2y;6;45;45;-0.98
8vX25;UjUyI S2tU;99;-24;68;7.0
 FdveoA2O H ;H  plA;-44;58;-58;-6.72
q  VCav;q  DB8o7dgY kiB;-54;-60;37;1.9
Gi s9OYu i0i;wM v  U;-32;-41;75;4.31
D pgvT 112 9 ;gTE u0Na;79;-67;-32;5.07
Bk OSM5w7EbjTT;J 5l ;27;-94;-9;-6.41
jDrzzdqeK dsY;g6  o;76;50;27;7.39
   6; ;95;2;-24;8.83
J;2SOL;-23;90;34;5.0
 sHDe h5 E60NPzR0qt;7Lu 6F4lT pjq tUs;59;-32;46;-4.93
 ;W2io ;-50;-3;15;-0.22
izm5TPOXTl;Z;-16;-78;-28;3.49
 GcM8KovBST SCT;t  ;-23;49;75;1.64
vN fbTPuY;iPq1pJRFQd 3  o81;62;-13;-58;9.85
Nuo  1J9MWwtEi6; ;-88;-5;-80;9.62
v U kwX ;z50sZ4 9;-58;64;-56;8.73
u U M8   ;Rq3 V U5 Gl3B16Z;-52;36;-98;3.98
 MgYbl;AKBxn  VQO7mO zz ;41;59;-75;-5.16
 6HH L bumo bnkyt; O 8  ;-80;61;-72;-0.15
 3T;lRe;87;0;-73;9.73
W4Uf5H 3;    8 EbkFE;37;21;85;-7.38
JD0szP;I OSIW D3sjJ  MAiTD ;-25;-4;-7;6.54
QTF p TAHWmUZH AD;W hZ f;78;-33;-62;1.96
zBsco7U  s QV5tCr;D;47;38;-81;1.65
mnJQqps  V Y4A BX2si; ;89;-56;26;9.03
YKPtInhtH;XTpB7O6TJ;-56;-61;26;-2.41
I ;GjF  H;-82;-20;52;0.95
t0 uxpJJq WQ 3B ;MbTc7j K lLrE gy;16;-56;40;-3.61
f 9 ID NXAgdy 7xFlE;p47cu5P G;-77;-78;11;8.84
  Ov9G1eT 8;U I   ;-43;69;8;6.0
8Mh rQkoi SDxofm wu;VcVop f 2sNAk  ;53;-70;89;-8.16
0fmoxKY7 R11I; KdK OU;18;-85;-1;2.85
L5 5; 8Edn A;-42;22;-21;8.14
HiL 2u6XheYDJAj9;qDy4wdFo1R2PT7;-16;44;95;6.42
l2njhn;74bH4hd ;-26;86;84;-5.76
ZkJvn8;qnst2Q JWjwQLq9c0W;1;84;83;7.08
ub;92Klt 7 itJC ;-2;-51;36;-4.16
9ilkW;nV;77;7;-28;8.73
ZXF5PaX ;2WuB  f;-8;-52;7;-2.57
Mp fY oeaymiJb7fWH;KYd7nb;80;44;-30;-2.05
jLm23gT8s7Vw lq d;s;73;85;38;2.97
LalXs2Fyy6ZuIs ;GGKb  RqFzJ9Kd 1;-91;-60;-86;3.89
RLDI hls h  qcV;iZ0O4psDv9iu HJ9b b;59;-42;-39;1.02
9 O; M j;76;-52;55;4.97
d2 wPxG am Qo xJ bZq;RDpLvkD;-52;-18;-48;-1.07
JhN8L   kVs Ox5; LfCiUSm dr6 F4JCh;-7;97;81;1.06
l2nW jX;WOf 57w;80;89;13;5.78
B3e z   Qxv8U8vMlf ;sDWyIH1nfAYEh;-70;-49;94;7.94
kCcl j HBwPy;d Tnm0;95;2;34;3.13
zM2gvs1PQJxyX8;K224bDC;94;-14;-23;-2.43
2 B6Lx;z;-75;55;-86;7.41
16fsd OLHGFR R29WrJw;4mf ;-20;20;-58;-9.87
x c O2yI;xmE;80;59;54;5.04
 14 n;J;31;18;37;-3.53
H  8iX4H ;K 4ld k4wGTg;-40;47;-3;9.63
  XRAc j54 L7NZSs8r; Et  O2ipOk2 5  ;-39;0;87;-1.18
T5X 6s htJCP;Bpk9;19;-71;-80;0.3
ZtbUz 71vJPW;uQuL;-83;-69;-21;9.16
ksA Nh Ks fm p;dWCTdi  LP Lw;85;71;-54;-3.59
ZP  14RVtWQga  ;7R3WN FnG  IQskW;26;-81;-44;-4.76
L0k  gyDgFAMlX6pd;0;70;20;-43;-5.47
Ar ;iG w iA;56;-32;-60;-9.09
  rW6;J5X8;-66;-84;81;-8.34
R PE 2xWw  hNTTB rh;h;37;-28;82;3.01
tA Bsm6xac;CxKDalHmz;42;-97;-47;-6.83
Fzuqfge u PZ;U V0 uIG  ;4;63;-13;-3.8
4LZXPC HVR3 ;DtMq Rp4;-74;-20;-41;-9.48
dz2 ;Oy0 ;-23;-63;73;-1.9
8 ; 7bWMlLujPLeLlcp j  ;5;51;23;-9.4
dr Z3   qen0;ax2sqwmE;-33;45;-67;9.78
5R0T2lWrTHDeDo0y ;Rz;-66;-10;-31;-8.62
 TVDA0;5tbL   k5CMX   L V;90;-86;74;5.35
 V YN;j22;65;-3;46;6.69
139W5uV;cB5a7V nJy  l2lJz8X;-27;-6;-34;6.48
J0 7o z96ZpIJn; ;7;-17;-24;-9.29
P  bSSHOQ8 s; 14;-52;-30;-12;2.64
LY X  eKgo w; b ;90;59;9;6.9
N1mZvwasu7 ay;tD cByfZV5   X A;22;-51;-9;9.42
jo 5XC 61MCAC;cV7vQ4wvDe;54;69;67;1.18
Ah   Y;xPTZg w;-14;-47;74;-3.73
O9R  Kj3 SSAkXgG; fo rFWWJgFqcLrdFS;-90;-62;-33;1.76
G 0XNsg; SfWfh6;-75;-93;-95;-4.18
rAXPMZ WL ;GZeVvsvj;-99;-87;91;-1.6
dwZnM7A ;FXm  X 0u3RJ;-59;87;-2;-8.4
i52D5 M  R NF;e CW5U H7cDf ;21;-15;-65;4.42
GE6V8 RN ;wRcq;-4;-90;-76;9.76
  uU sfZ g;  qGm;4;7;-92;6.29
NSn yz aC  ;kYRO OC 1;56;25;-59;1.24
C60 m0nF 6tl  4as ;jCu S CJQ JeYNDPQs;19;-19;-42;-8.81
 E  j1w59;IdjFwSy  ;-16;97;-85;7.02
Is b ;2;-26;-27;-90;-9.58
p q x8jXU;yAUko9  ;84;16;78;-7.53
WGpK k;S w  ;60;73;-51;8.86
